participant,sentence
INV,turn off the water .
CHI,0 .
INV,off .
INV,off .
INV,push .
INV,it's hard .
CHI,0 .
INV,okay .
CHI,0 .
INV,&-uh oh .
INV,we gotta hold it this way .
INV,you're gonna hafta clean up later .
INV,water water .
CHI,0 .
INV,this one .
CHI,0 .
INV,okay .
INV,let's go put this up .
INV,let's go put it away .
INV,Chi it's time to put it away .
CHI,0 .
INV,Chi .
INV,www .
INV,let's put it away so we can clean the floor .
INV,put it up here .
CHI,0 .
INV,no right here Chi we're done .
INV,we're done .
INV,look we're gonna put it right here .
INV,all done .
INV,all done .
CHI,0 .
INV,you wanna do it again ?
CHI,0 .
INV,but we're done .
INV,but we're done .
CHI,0 .
CHI,0 .
INV,once more okay .
CHI,0 .
INV,okay .
INV,turn it off .
CHI,0 .
INV,you're such a good helper .
INV,you're such a good helper .
INV,water some more .
INV,they really need the water .
CHI,0 .
CHI,0 .
INV,thank you .
CHI,0 .
INV,here Chi we're done .
INV,here .
INV,let's dump it out .
INV,Exp's turn .
INV,look .
INV,0 .
INV,okay .
INV,look we're done .
CHI,0 .
INV,what do you see ?
CHI,0 .
INV,0 .
INV,all done .
INV,Chi when we're done does this go right here ?
INV,let's put it right here .
CHI,xxx .
CHI,oh hi [?] .
INV,hi .
CHI,yyy [= jargon] .
INV,here Chi .
CHI,yyy [= jargon] [>] .
INV,let's play with the blocks [<] .
