participant,sentence
CHI,hi .
INV,would you like to come in and eat supper ?
CHI,yes .
INV,yes ?
INV,come right in .
CHI,yyy .
INV,you needta bring him to the table Chi .
CHI,0 .
INV,bring him to the table .
INV,let him sit down .
INV,they're going to eat supper .
CHI,0 .
INV,is she going to eat supper too ?
CHI,0 .
INV,come in come in .
CHI,move .
INV,I told him to move ?
CHI,0 .
INV,come in .
INV,would you like to eat ?
CHI,xxx . [+ trn]
CHI,help me .
INV,help you ?
CHI,help yyy .
INV,okay .
INV,she's in now .
INV,you come on this side .
CHI,yyy .
INV,they needta sit at the table and eat .
CHI,eat [?] .
CHI,yyy [= jargon] .
INV,oh are they coming to the door too ?
INV,we needta close the door .
INV,so they can ring the doorbell .
INV,he needs to sit at the table .
INV,he's hungry .
CHI,yyy .
INV,where are they going ?
CHI,yyy .
INV,are they going to school ?
CHI,yes .
INV,Chi tell Jonathan hi .
CHI,bye .
INV,hi not bye .
CHI,bye .
INV,there you are .
INV,are they going to park here ?
CHI,park .
INV,there you go .
INV,oops (.) uhoh .
CHI,uhoh .
INV,what happened ?
CHI,yyy bump .
INV,we bumped .
INV,you're right .
CHI,yyy [= jargon] .
INV,are they coming home to eat ?
CHI,eat [?] .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,are they going to ring the doorbell ?
CHI,xxx . [+ trn]
CHI,0 .
INV,ding@o .
INV,she's coming to the door .
INV,wait .
INV,she needs to open it .
INV,hi .
CHI,hi .
CHI,help me .
INV,help you ?
INV,I'll put h@l +/.
CHI,help me .
INV,okay .
INV,right there .
INV,come inside and eat supper with us .
INV,is he going to eat supper or <is she> [//] is he going to eat supper ?
CHI,yes .
INV,yes ?
INV,okay .
INV,he's coming to the table .
CHI,help me .
INV,it's (.) well okay .
INV,it's in .
CHI,yyy .
INV,do they come into the door ?
CHI,help me .
INV,okay .
INV,I'll help .
INV,oh .
INV,here she is .
INV,ring the doorbell .
CHI,0 .
INV,ding .
INV,open the door .
INV,come in and have supper .
CHI,help me .
INV,okay .
INV,should she sit at the table ?
CHI,yes .
INV,in this chair ?
CHI,yes .
INV,yes .
INV,right there .
INV,&=gasp look how many people are at the table .
CHI,yyy .
INV,they need some food .
INV,let's pretend we're putting food on the table .
INV,there's their food .
INV,can you make them eat it ?
INV,xxx . [+ trn]
INV,they're eating their food .
INV,what are they eating ?
INV,are they eating gold fish ?
CHI,goldfish .
INV,goldfish .
INV,okay .
INV,she woke up .
INV,are you putting the tables in ?
INV,is this her table ?
CHI,yyy [= jargon] .
INV,she could eat there .
CHI,uhoh .
INV,uhoh ?
CHI,uhoh .
INV,what's wrong ?
CHI,0 .
INV,she's going to sit down .
INV,let's make room .
INV,push them over .
INV,they hafta move .
CHI,move .
CHI,move .
INV,yeah .
CHI,move .
INV,they hadta move .
INV,are they finished eating ?
CHI,yes .
INV,okay .
INV,let's take them out_of their chairs .
INV,when they're finished they hafta put their plates away .
CHI,yyy .
INV,are they coming to the house ?
CHI,yes .
INV,uhoh .
INV,the door's open .
INV,let's close it .
CHI,xxx .
INV,you're pushing the table .
CHI,yyy [=! jargon] .
INV,are we finished with the house ?
CHI,yes .
INV,let's go to the mailboxes .
INV,should we go (.) this way or that way ?
CHI,that way .
INV,what do you wanna do ?
INV,open it ?
CHI,yyy .
INV,open ?
CHI,open .
INV,okay .
INV,we'll open it .
INV,push the door .
INV,push hard .
CHI,yyy open .
INV,open .
INV,open please .
CHI,0 . [+ trn]
INV,she's coming with us .
INV2,there's Chi .
INV2,hi Chi .
CHI,hi .
INV,hey Chi .
INV,what's this ?
INV,what's this ?
CHI,this .
CHI,yyy .
INV,what is it ?
CHI,yyy machine .
INV,a coke machine ?
INV,look .
CHI,yyy .
INV,what is that ?
CHI,yyy .
INV,the trash can .
INV,what's this ?
CHI,yyy .
INV,that's where we have snack .
INV,what's this here Chi ?
CHI,yyy .
INV,tree ?
INV,one .
INV,two .
INV,three .
INV,do you want a drink ?
INV,Chi do you want a drink ?
INV,no ?
CHI,yyy .
INV,do you hear people talking ?
CHI,0 .
INV,you're going down .
CHI,0 .
INV,should we open it ?
CHI,open .
CHI,yyy .
CHI,hi .
CHI,hi .
INV,yeah .
INV,he can't hear you .
INV,what's in there ?
CHI,computer .
INV,the computers .
INV,there's the bath room .
CHI,yyy .
INV,whoops .
CHI,0 . [+ trn]
INV,there's another bath room .
INV,you're right .
CHI,xxx . [+ trn]
INV,yes .
CHI,xxx . [+ trn]
INV,what's this ?
CHI,elevator .
INV,the elevator .
INV,we won't go up yet .
INV,we needta go past +...
INV,what are these things ?
CHI,yyy .
INV,the offices ?
CHI,offices .
INV,that's right .
INV,offices .
INV,here are the mailboxes .
INV,let's see if I have any mail .
INV,it's empty .
CHI,empty .
INV,empty .
INV,let's go upstairs .
CHI,0 .
INV,can you push it ?
CHI,0 .
CHI,up up .
INV,up .
INV,up up up .
CHI,up up up .
CHI,0 .
INV,what's that ?
INV,what's there ?
INV,outside .
CHI,a airplane .
INV,what do you see ?
CHI,yyy .
INV,do you see the birds flying ?
CHI,flying .
INV,lots_of birds flying .
INV,let's go up .
INV,you needta pull .
CHI,pull .
INV,this way Chi .
CHI,yyy .
CHI,yyy .
INV,wait .
INV,come here .
INV,Chi we needta look in my mailbox .
INV,do you see anything ?
CHI,uhuh .
INV,no .
CHI,no .
INV,it's empty .
CHI,0 . [+ trn]
INV,that's not mine .
INV,that's somebody else's .
CHI,0 . [+ trn]
INV,that's somebody else's .
INV,we can't take it .
CHI,0 . [+ trn]
INV,no .
INV,would you like to get a drink ?
CHI,yyy .
INV,you needta push the button .
INV,do you want more ?
CHI,yyy .
INV,more .
CHI,&-um .
INV,I need a drink too .
INV,can you push for me ?
INV,can you push it for me ?
INV,push hard .
INV,do you need help ?
CHI,help (.) me .
INV,okay [<] .
INV,I will help .
INV,okay .
INV,we needta go this way .
INV,we'll go back down .
CHI,0 .
CHI,yyy .
INV,can you say hi ?
CHI,hi .
INV2,hi .
CHI,hi .
INV2,hi .
CHI,yyy .
CHI,hi .
INV,we're going back down .
CHI,0 .
INV,which way Chi ?
INV,which way ?
INV,this way or that way ?
CHI,that way .
CHI,that way .
INV,this way ?
CHI,yyy .
INV,you needta pull .
CHI,pull .
INV,that's pushing .
INV,you needta pull .
CHI,pull .
INV,www .
CHI,yyy pull pull pull .
INV,yeah .
INV,we hafta pull that door .
INV,are you ready to go up the elevator ?
CHI,yyy .
INV,yes ?
INV,what's out there ?
CHI,yyy .
INV,what is it ?
CHI,yyy .
INV,is it a tree ?
CHI,tree .
CHI,yyy .
INV,flowers ?
CHI,yyy .
INV,do you see the motorcycle ?
CHI,yes .
INV,I see the motorcycle and the cars .
CHI,yyy .
CHI,0 .
INV,do you push the button ?
INV,we hafta wait .
INV,&=gasp . [+ trn]
INV,the door is open .
INV,you needta push that button .
CHI,button .
CHI,yyy .
INV,yeah .
INV,number two .
CHI,number two .
INV,that's number two .
INV,that's number one .
CHI,0 .
INV,don't push that one .
INV,that's fine .
INV,we needta go out .
INV,are you ready for snack ?
CHI,0 .
INV,are you ready for snack time ?
CHI,yes [?] .
INV,yes ?
CHI,xxx .
INV,let's go down .
INV,tell Tasha hi .
CHI,hi .
INV,let's push .
CHI,pull .
INV,push .
INV,wait Chi .
INV,Chi wait .
CHI,0 .
INV,we needta go fix your juice .
