participant,sentence
CHI,a pig .
INV,yeah .
INV,where's our pig ?
INV,where's the other pig ?
CHI,a pig .
INV,there's the pig .
INV,he goes .
CHI,0 .
INV,the pig says .
CHI,a (.) oink .
INV,0 .
CHI,oink .
INV,oink .
INV,oink .
CHI,0 .
INV,that's right .
INV,he goes .
INV,0 [= snorts] . [+ trn]
INV,0 [= snorts] . [+ trn]
INV,0 [= snorts] . [+ trn]
CHI,0 [= snort] . [+ trn]
INV,&=laughs .
INV,that's right .
CHI,open .
INV,was he hungry ?
CHI,a door .
CHI,a dog .
INV,&mm hm: .
INV,a dog .
CHI,dog .
INV,the farmer wants to ride his horse .
CHI,horse .
INV,he wants to ride his horse .
CHI,horse .
INV,dum_dee_dum_dee@si .
INV,dum_dee_dum_dee@si .
INV,he needs a drink .
INV,he's thirsty .
CHI,horse .
INV,he's thirsty .
INV,xxx . [+ trn]
INV,&mm .
INV,thank you says the horse .
INV,dum_dee_dum@si .
CHI,0 [=! squeals] .
INV,da_da_da@si .
CHI,&=laughs .
INV,0 .
CHI,&=laughs .
INV,a kiss .
CHI,a sheep .
INV,sheep .
CHI,a sheep .
INV,&mm hm: .
INV,sheep .
CHI,baaaa@o .
INV,baa .
INV,baa .
CHI,xxx .
CHI,xxx .
INV,what are you doing ?
CHI,yyy sheep .
INV,I'm gonna put the farmer in your pocket .
CHI,pocket .
INV,in your pocket .
CHI,pocket .
CHI,a dog .
INV,&mm hm: .
CHI,0 .
CHI,0 .
INV,what do you hear ?
INV,somebody outside ?
CHI,outside .
INV,yay .
INV,that's right .
CHI,outside .
CHI,yyy close .
INV,close .
CHI,close .
CHI,0 .
INV,put the farmer in your pocket .
CHI,0 .
INV,that's not your pocket .
INV,there's your pocket .
CHI,0 .
CHI,oh .
INV,he's in your pocket .
CHI,xxx .
CHI,0 .
INV,&=gasp . [+ trn]
CHI,0 .
INV,oops .
CHI,xxx .
INV,do you wanna sing another song ?
CHI,no .
INV,sing ?
CHI,sing .
INV,sing ?
CHI,go .
INV,how about the happy song ?
CHI,happy .
INV,the happy song ?
CHI,go .
INV,sit down .
CHI,0 .
INV,ready .
CHI,go .
INV,if you're happy and you know it clap your hands .
CHI,0 .
INV,if you're happy and you know it clap your hands .
CHI,0 .
INV,0 .
INV,if you're happy and you know it then your .
CHI,xxx .
INV,face will surely show it .
CHI,&=laughs .
INV,if you're happy and you know it .
CHI,rooster .
INV,what ?
CHI,rooster .
INV,rooster .
INV,that's right .
INV,rooster .
CHI,cock a doodle doo .
INV,cock a doodle doo .
CHI,chicken .
INV,no more singing .
CHI,chicken .
INV,chicken .
CHI,bac@o bac@o bac@o bac@o bac@o bac@o bac@o .
INV,bac@o bac@o bac@o .
CHI,0 .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,he's eating his breakfast .
CHI,yyy [= jargon] .
INV,did the dog eat his breakfast ?
CHI,0 .
INV,xxx . [+ trn]
INV,xxx . [+ trn]
CHI,&=laughs .
INV,"oh , thank you he says ."
INV,are you ready to put the farm away ?
CHI,away .
INV,the barn ?
CHI,barn .
INV,put it away .
CHI,away .
CHI,xxx .
INV,put all the animals in .
CHI,0 .
CHI,yyy .
CHI,yyy .
CHI,yyy .
CHI,a horse .
CHI,a horse .
CHI,a sheep .
CHI,a chicken .
CHI,0 .
INV,bye bye .
CHI,bye bye .
INV,"bye bye , everybody ."
CHI,bye (every)body .
INV,is that all ?
CHI,a (.) close .
INV,close .
CHI,0 .
INV,where does it go ?
CHI,all closed .
INV,all closed .
INV,where does it go ?
CHI,up .
INV,up .
INV,yeah .
INV,first it goes .
CHI,up .
INV,0 .
CHI,open .
INV,in your bucket .
CHI,0 [=! wa] . [+ trn]
INV,0 .
CHI,0 .
INV,now where ?
CHI,a bus .
INV,yep .
INV,a bus .
CHI,a bus .
INV,where does your bucket go ?
CHI,up [?] .
CHI,up .
INV,up .
INV,&mm hm: .
INV,on the shelf .
CHI,shelf .
INV,can you put it up there ?
CHI,0 .
INV,0 .
CHI,up .
INV,up .
INV,can you reach it ?
CHI,yyy .
INV,do you need help ?
CHI,yyy .
CHI,yyy .
INV,I'll help you .
CHI,yyy .
INV,do you need help ?
INV,I'll help you .
INV,&=gasp . [+ trn]
CHI,(bi)cycle .
INV,a bicycle .
CHI,oh a (bi)cycle .
CHI,(bi)cycle .
CHI,bicycle .
CHI,yyy .
INV,and .
CHI,a ted(dy) bear .
INV,a teddy_bear bear .
INV,and what else ?
INV,and .
CHI,a house .
INV,house .
CHI,bicycle .
INV,bicycle .
CHI,bicycle .
INV,let's take (th)em all out .
CHI,yyy .
INV,take (th)em all out ?
CHI,take out .
INV,take that apple out .
CHI,0 .
CHI,xxx . [+ trn]
INV,0 .
CHI,xxx . [+ trn]
CHI,a house .
CHI,a house .
INV,a house .
INV,is that your house ?
CHI,a house .
INV,is that Chi's house ?
CHI,a house .
CHI,0 .
INV,and Chi's teddy_bear bear ?
CHI,teddy_bear bear .
CHI,xxx .
INV,put the apple in .
INV,will it fit ?
INV,push it .
CHI,xxx .
INV,there you go .
CHI,0 .
INV,and the .
CHI,(b)icycle .
INV,bicycle .
CHI,bicycle .
CHI,xxx .
INV,will it go ?
CHI,yyy [= jargon] .
INV,okay .
CHI,done .
INV,let's put (th)em away .
INV,all done .
INV,that's right .
CHI,0 .
INV,done .
CHI,done .
INV,let's put (th)em away .
CHI,away .
CHI,bi(cycle) .
INV,0on 0the shelf .
CHI,bicycle yyy .
INV,want me to put it up ?
CHI,xxx .
CHI,0 . [+ trn]
INV,I'll do it .
CHI,xxx . [+ trn]
INV,now we needta put your bucket on the shelf .
CHI,the shelf [?] .
INV,pick it up here .
CHI,up .
INV,up [>] ?
CHI,up [<] .
INV,okay .
INV,I'll do it .
CHI,xxx .
INV,let's go to the gym Chi .
CHI,0 [=! wa] . [+ trn]
INV,gym .
CHI,xxx . [+ trn]
CHI,0 .
INV,show me the gym .
INV,show me where the gym is .
CHI,0 .
INV,that's right !
INV,what's this ?
CHI,yyy [= jargon] .
INV,a &tr .
CHI,tree .
INV,not a tree .
INV,that's the trash .
CHI,trash .
INV,trash .
INV,here's .
CHI,a table .
INV,yeah tables and .
CHI,and .
INV,that's outside .
CHI,outside .
INV,but we're going to the +...
CHI,gym .
INV,gym .
CHI,xxx .
INV,can you open it ?
INV,need help ?
CHI,help [?] .
INV,help .
INV,okay .
CHI,&=laughs .
INV,0 .
INV,we're going to the gym .
CHI,gym .
INV,can you push the five ?
CHI,0 .
INV,nope that's the four .
CHI,0 .
INV,let's start over .
INV,push the five .
CHI,0 .
CHI,0 .
INV,thank you .
CHI,0 .
INV,here I come .
INV,&=gasp .
INV,here I come .
CHI,0 .
INV,Chi .
INV,0 .
CHI,0 .
INV,&-uh hi .
INV,here we are .
CHI,0 .
INV,here we are .
CHI,0 [=! squeals] .
INV,let's go down the slide .
CHI,slide .
INV,slide .
INV,whoops .
CHI,ups .
INV,op .
INV,puzzle first ?
CHI,0 .
INV,puzzles are in there .
INV,where's your puzzle ?
INV,did you find it ?
CHI,xxx . [+ trn]
INV,you found it .
CHI,a puzzle .
INV,a puzzle .
CHI,0 .
INV,&=gasp . [+ trn]
INV,I have the (.) +/.
CHI,airplane .
INV,I have the airplane .
CHI,airplane .
INV,airplane .
CHI,varoom@o .
INV,varoom@o .
INV,flying .
CHI,0 .
INV,let's play with the +/.
CHI,xxx .
INV,let's play with the choo choo train .
CHI,choo choo train .
INV,choo choo train .
CHI,<choo choo choo> [>] .
INV,<ch_ch_ch_cch_ch@o> [<] ch_ch_ch@o .
CHI,0 .
CHI,air +/.
INV,what's this ?
CHI,a bus .
INV,a bus .
CHI,a bus .
INV,bus .
INV,is it a school bus ?
CHI,school bus .
INV,school bus .
CHI,airplane .
INV,airplane .
CHI,airplane .
INV,is it flying ?
CHI,varoom@o varoom@o .
INV,varoom@o .
CHI,0 .
INV,and what's this ?
CHI,a boat .
INV,a boat .
INV,it goes (.) toot toot .
INV,he's on the water .
CHI,0 .
CHI,xxx . [+ trn]
CHI,0 .
CHI,a airplane .
INV,yep it's an airplane .
CHI,airplane .
INV,there's one more we haven't played with .
CHI,a truck .
INV,a truck .
CHI,a truck .
INV,what color is the truck ?
CHI,green .
INV,green .
INV,a green truck .
CHI,0 .
INV,I think you like the airplane th(e) best .
CHI,varoom@o .
CHI,0 .
INV,Chi .
INV,we needta put the puzzle away first .
CHI,xxx . [+ trn]
INV,then we'll play on the slide .
CHI,xxx . [+ trn]
INV,okay .
CHI,(o)kay .
INV,let's put it away .
CHI,away .
INV,<in the sh> [//] in the closet .
INV,0 .
CHI,0 .
INV,bye bye puzzle .
CHI,bye puzzle .
INV,bye bye puzzle .
CHI,xxx . [+ trn]
INV,you want another puzzle ?
CHI,xxx . [+ trn]
INV,or a book ?
CHI,book .
INV,nope those are the puzzles .
CHI,0 .
CHI,0 .
INV,there's the book .
INV,books .
CHI,a book .
INV,which book is that ?
INV,rooster !
CHI,rooster .
INV,rooster .
CHI,roos(ter) [>] .
INV,<he says> [<] .
CHI,cockle +/.
INV,cock a doodle do .
CHI,cock a doodle do .
INV,what's this book ?
CHI,a book .
INV,oh !
INV,he's on a .
CHI,yyy [//] bicycle .
INV,a bicycle .
CHI,bicycle .
INV,yeah .
INV,here it is .
CHI,bicycle .
INV,you wanna read this book ?
CHI,yyy .
INV,let's read this book .
CHI,bicycle .
INV,Ralph Troll .
CHI,troll .
INV,was very proud of his first bicycle .
CHI,bicycle .
INV,you don't wanna read the book ?
CHI,book .
INV,oh bye bye book .
CHI,bye book .
CHI,xxx .
INV,which book do you want ?
CHI,xxx .
CHI,a book .
INV,the toad hunt .
CHI,hunt .
INV,the toad hunt .
CHI,to(ad) .
CHI,0 .
INV,I bet you want the tiny dino(saur)s .
CHI,dino(saur)s .
INV,where are the tiny dino(saur)s .
CHI,yyy dino(saurs) .
INV,the tiny dino(saur)s .
CHI,yyy .
INV,where are they ?
CHI,yyy .
INV,I don't see them .
CHI,0 .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,0 .
INV,no book ?
CHI,xxx . [+ trn]
INV,we needta close the cabinet .
INV,close it .
CHI,yyy close yyy .
CHI,0 .
INV,maybe the tiny dino(saur)s are up here .
INV,let's look .
INV,up here ?
CHI,up .
INV,0 .
CHI,xxx .
INV,where are the tiny dino(saur)s ?
CHI,0 .
INV,nope .
INV,that's lunchboxes .
INV,where are they ?
INV,no .
CHI,xxx .
CHI,0 .
INV,up there ?
INV,I can't reach up there .
INV,whoops .
INV,can you see the tiny dino(saur)s ?
CHI,tiny dino(saur)s .
INV,guess they're gone .
CHI,all_gone .
INV,all_gone .
CHI,all_gone .
INV,0 .
CHI,0 .
INV,sorry .
